Date,High,Low,Open,Close,Volume,Adj Close
2017-11-22,23605.76953125,23507.609375,23597.240234375,23526.1796875,268760000,23526.1796875
2017-11-24,23599.1796875,23551.58984375,23552.75,23557.990234375,118610000,23557.990234375
2017-11-27,23638.919921875,23545.01953125,23552.859375,23580.779296875,296320000,23580.779296875
2017-11-28,23849.609375,23617.109375,23625.189453125,23836.7109375,319240000,23836.7109375
2017-11-29,23959.759765625,23872.58984375,23883.259765625,23940.6796875,401410000,23940.6796875
2017-11-30,24327.8203125,24013.80078125,24013.80078125,24272.349609375,488200000,24272.349609375
2017-12-01,24322.060546875,23921.900390625,24305.400390625,24231.58984375,417910000,24231.58984375
2017-12-04,24534.0390625,24288.189453125,24424.109375,24290.05078125,424250000,24290.05078125
2017-12-05,24349.740234375,24155.279296875,24335.009765625,24180.640625,371190000,24180.640625
2017-12-06,24229.349609375,24134.490234375,24171.900390625,24140.91015625,312720000,24140.91015625
2017-12-07,24262.880859375,24101.240234375,24116.599609375,24211.48046875,319060000,24211.48046875
2017-12-08,24330.119140625,24225.5,24263.259765625,24329.16015625,293590000,24329.16015625
2017-12-11,24389.720703125,24314.740234375,24338.109375,24386.029296875,300580000,24386.029296875
2017-12-12,24552.970703125,24443.830078125,24452.9609375,24504.80078125,342220000,24504.80078125
2017-12-13,24666.01953125,24518.30078125,24525.189453125,24585.4296875,325280000,24585.4296875
2017-12-14,24672.48046875,24508.66015625,24631.009765625,24508.66015625,314780000,24508.66015625
2017-12-15,24688.619140625,24584.439453125,24585.7109375,24651.740234375,635740000,24651.740234375
2017-12-18,24876.0703125,24739.560546875,24739.560546875,24792.19921875,354880000,24792.19921875
2017-12-19,24850.109375,24715.599609375,24834.380859375,24754.75,335330000,24754.75
2017-12-20,24852.439453125,24697.109375,24838.08984375,24726.650390625,341790000,24726.650390625
2017-12-21,24850.91015625,24766.26953125,24778.259765625,24782.2890625,339530000,24782.2890625
2017-12-22,24784.150390625,24717.509765625,24764.0390625,24754.060546875,255140000,24754.060546875
2017-12-26,24778.130859375,24708.419921875,24715.83984375,24746.2109375,208290000,24746.2109375
2017-12-27,24789.51953125,24731.6796875,24766.51953125,24774.30078125,225890000,24774.30078125
2017-12-28,24839.23046875,24797.130859375,24807.2109375,24837.509765625,200960000,24837.509765625
2017-12-29,24871.66015625,24719.220703125,24849.630859375,24719.220703125,270760000,24719.220703125
2018-01-02,24864.189453125,24741.69921875,24809.349609375,24824.009765625,341130000,24824.009765625
2018-01-03,24941.919921875,24825.55078125,24850.44921875,24922.6796875,456790000,24922.6796875
2018-01-04,25105.9609375,24963.26953125,24964.859375,25075.130859375,403280000,25075.130859375
2018-01-05,25299.7890625,25112.009765625,25114.919921875,25295.869140625,358020000,25295.869140625
2018-01-08,25311.990234375,25235.41015625,25308.400390625,25283.0,341390000,25283.0
2018-01-09,25439.779296875,25308.41015625,25312.05078125,25385.80078125,333490000,25385.80078125
2018-01-10,25404.919921875,25256.990234375,25348.130859375,25369.130859375,341470000,25369.130859375
2018-01-11,25575.419921875,25396.189453125,25398.599609375,25574.73046875,346830000,25574.73046875
2018-01-12,25810.4296875,25633.080078125,25638.390625,25803.189453125,376390000,25803.189453125
2018-01-16,26086.119140625,25702.990234375,25987.619140625,25792.859375,606520000,25792.859375
2018-01-17,26130.44921875,25865.01953125,25910.779296875,26115.650390625,522720000,26115.650390625
2018-01-18,26153.419921875,25947.3203125,26149.55078125,26017.810546875,492780000,26017.810546875
2018-01-19,26071.720703125,25942.830078125,25987.349609375,26071.720703125,585000000,26071.720703125
2018-01-22,26215.23046875,25974.650390625,26025.3203125,26214.599609375,431200000,26214.599609375
2018-01-23,26246.189453125,26143.900390625,26214.869140625,26210.810546875,433490000,26210.810546875
2018-01-24,26392.80078125,26106.939453125,26282.0703125,26252.119140625,518790000,26252.119140625
2018-01-25,26458.25,26259.720703125,26313.060546875,26392.7890625,401390000,26392.7890625
2018-01-26,26616.7109375,26425.349609375,26466.740234375,26616.7109375,477780000,26616.7109375
2018-01-29,26608.900390625,26435.33984375,26584.279296875,26439.48046875,421000000,26439.48046875
2018-01-30,26256.990234375,26028.419921875,26198.44921875,26076.890625,448330000,26076.890625
2018-01-31,26338.029296875,26050.98046875,26268.169921875,26149.390625,479130000,26149.390625
2018-02-01,26306.69921875,26014.439453125,26083.0390625,26186.7109375,410620000,26186.7109375
2018-02-02,26061.7890625,25490.66015625,26061.7890625,25520.9609375,522880000,25520.9609375
2018-02-05,25520.529296875,23923.880859375,25337.869140625,24345.75,714450000,24345.75
2018-02-06,24946.23046875,23778.740234375,24085.169921875,24912.76953125,823940000,24912.76953125
2018-02-07,25293.9609375,24785.439453125,24892.869140625,24893.349609375,504620000,24893.349609375
2018-02-08,24903.6796875,23849.23046875,24902.30078125,23860.4609375,657500000,23860.4609375
2018-02-09,24382.140625,23360.2890625,23992.669921875,24190.900390625,735030000,24190.900390625
2018-02-12,24765.16015625,24290.48046875,24337.759765625,24601.26953125,496610000,24601.26953125
2018-02-13,24705.720703125,24421.029296875,24540.330078125,24640.44921875,374410000,24640.44921875
2018-02-14,24925.94921875,24490.359375,24535.8203125,24893.490234375,431160000,24893.490234375
2018-02-15,25203.94921875,24809.419921875,25047.8203125,25200.369140625,416780000,25200.369140625
2018-02-16,25432.419921875,25149.259765625,25165.939453125,25219.380859375,406730000,25219.380859375
